PercentSeason,PercentArea,DRP.mg.per.L
0.2125138,0.1072138,
0.2127894,0.1070988,
0.2130651,0.1068689,
0.2133407,0.1068115,
0.2136163,0.1067541,
0.2138920,0.1065819,
0.2141676,0.1063523,
0.2144432,0.1062950,
0.2147189,0.1062376,
0.2149945,0.1061230,
0.2152701,0.1061230,
0.2155458,0.1058937,
0.2158214,0.1054929,
0.2160970,0.1054357,
0.2163727,0.1054357,
0.2166483,0.1053785,
0.2169239,0.1053212,
0.2171996,0.1052069,
0.2174752,0.1052069,
0.2177508,0.1050353,
0.2180265,0.1047496,
0.2183021,0.1047496,
0.2185777,0.1046925,
0.2188534,0.1045783,
0.2191290,0.1044071,
0.2194046,0.1038369,
0.2196803,0.1036660,
0.2199559,0.1036091,
0.2202315,0.1035521,
0.2205072,0.1035521,
0.2207828,0.1034952,
0.2210584,0.1033245,
0.2213341,0.1033245,
0.2216097,0.1029264,
0.2218853,0.1028127,
0.2221610,0.1026991,
0.2224366,0.1024720,
0.2227122,0.1024152,
0.2229879,0.1020748,
0.2232635,0.1020181,
0.2235391,0.1019048,
0.2238148,0.1017914,
0.2240904,0.1017348,
0.2243660,0.1015649,
0.2246417,0.1012818,
0.2249173,0.1012253,
0.2251929,0.1010556,
0.2254686,0.1010556,
0.2257442,0.1009990,
0.2260199,0.1009990,
0.2262955,0.1009425,
0.2265711,0.1009425,
0.2268468,0.1008295,
0.2271224,0.1007729,
0.2273980,0.1006600,
0.2276737,0.1005470,
0.2279493,0.1004341,
0.2282249,0.1002084,
0.2285006,0.1002084,
0.2287762,0.0999828,
0.2290518,0.0999264,
0.2293275,0.0998137,
0.2296031,0.0997573,
0.2298787,0.0997573,
0.2301544,0.0997573,
0.2304300,0.0996446,
0.2307056,0.0995883,
0.2309813,0.0994194,
0.2312569,0.0994194,
0.2315325,0.0992506,
0.2318082,0.0989131,
0.2320838,0.0989131,
0.2323594,0.0988569,
0.2326351,0.0988007,
0.2329107,0.0988007,
0.2331863,0.0986322,
0.2334620,0.0984637,
0.2337376,0.0983514,
0.2340132,0.0982392,
0.2342889,0.0980709,
0.2345645,0.0980709,
0.2348401,0.0979027,
0.2351158,0.0977345,
0.2353914,0.0976225,0.632
0.2356670,0.0976225,
0.2359427,0.0965598,
0.2362183,0.0965598,
0.2364939,0.0963923,
0.2367696,0.0960018,
0.2370452,0.0956117,
0.2373208,0.0954447,
0.2375965,0.0953334,
0.2378721,0.0952777,
0.2381477,0.0951664,
0.2384234,0.0944995,
0.2386990,0.0943885,
0.2389746,0.0938339,
0.2392503,0.0935569,
0.2395259,0.0935569,
0.2398015,0.0934462,
0.2400772,0.0933909,
0.2403528,0.0931142,
0.2406285,0.0930589,
0.2409041,0.0927826,
0.2411797,0.0926721,
